"continent","education_of_employee","has_job_experience","requires_job_training","no_of_employees","region_of_employment","prevailing_wage","unit_of_wage","full_time_position","company_age","y_train"
"Asia","Master's","Y","N",2412,"Northeast",83425.65,"Year","Y",22,"0"
"Africa","Master's","Y","N",1082,"South",149907.39,"Year","Y",19,"0"
"Asia","Master's","Y","N",2339,"South",78252.14,"Year","Y",12,"0"
"Asia","Bachelor's","N","N",4985,"South",53635.39,"Year","Y",30,"0"
"Europe","Doctorate","Y","N",2251,"South",67514.76,"Year","Y",29,"0"
"Asia","Master's","N","N",2465,"Midwest",83588.56,"Year","Y",20,"0"
"Asia","Bachelor's","Y","N",123876,"Northeast",28663.05,"Year","Y",61,"0"
"Asia","Bachelor's","Y","N",1652,"Midwest",107196.03,"Year","Y",17,"0"
"Asia","Master's","Y","N",2747,"West",16132.61,"Year","Y",23,"0"
"Africa","Master's","Y","N",4743,"Midwest",150441.13,"Year","Y",20,"0"
"Asia","Doctorate","N","N",843,"Midwest",79948.12,"Year","Y",52,"0"
"North America","Master's","Y","N",1706,"Midwest",137694.98,"Year","N",11,"0"
"Asia","Master's","Y","N",2878,"West",45642.39,"Year","Y",56,"0"
"Europe","Doctorate","Y","N",241,"Midwest",71286.04,"Year","Y",43,"0"
"North America","Master's","N","N",1100,"Midwest",99489.65,"Year","Y",27,"0"
"Asia","Master's","Y","N",18,"Northeast",40925.86,"Year","Y",20,"0"
"Asia","Master's","Y","N",1408,"Midwest",79594.12,"Year","N",26,"0"
"Asia","Doctorate","Y","N",995,"South",135866.13,"Year","N",144,"0"
"Asia","Bachelor's","N","N",2415,"Midwest",72077.57,"Year","N",61,"0"
"Asia","High School","N","N",2395,"South",81921.18,"Year","Y",24,"0"
"Europe","Master's","Y","Y",44,"South",110817.26,"Year","Y",59,"0"
"Asia","Bachelor's","Y","N",3723,"West",39633.32,"Year","Y",13,"0"
"Asia","Master's","Y","N",1209,"Northeast",156326.33,"Year","N",35,"0"
"North America","Master's","Y","N",2582,"South",54614.42,"Year","Y",35,"0"
"Asia","Bachelor's","Y","N",2623,"South",61567.75,"Year","Y",16,"0"
"Asia","High School","Y","N",226,"Midwest",156251.17,"Year","Y",33,"0"
"Asia","Bachelor's","Y","N",2405,"South",86022.02,"Year","Y",91,"0"
"Asia","Bachelor's","N","N",746,"Midwest",66191.41,"Year","Y",33,"0"
"Asia","High School","Y","N",2438,"Midwest",35018.04,"Year","Y",48,"0"
"Asia","Master's","Y","N",11733,"Northeast",230.8072,"Hour","Y",29,"0"
"Europe","Bachelor's","Y","Y",779,"West",85854.09,"Year","Y",30,"0"
"Asia","Bachelor's","Y","N",2825,"Northeast",14174.04,"Year","Y",28,"0"
"Europe","Bachelor's","N","N",3510,"West",47176.84,"Year","Y",17,"0"
"Asia","Doctorate","N","N",2624,"Midwest",4949.28,"Year","Y",12,"0"
"Europe","Doctorate","Y","Y",2311,"Midwest",58791.58,"Year","Y",30,"0"
"Europe","Doctorate","Y","N",2070,"West",5319.49,"Year","Y",177,"0"
"Asia","Bachelor's","Y","Y",2654,"Midwest",153019.94,"Year","Y",11,"0"
"Asia","High School","Y","N",1722,"South",61521.92,"Year","Y",17,"0"
"Asia","Master's","Y","N",452,"South",122540.55,"Year","Y",134,"0"
"Africa","Master's","Y","N",3705,"South",47170.76,"Year","Y",23,"0"
"Europe","Bachelor's","Y","N",2423,"West",2927.34,"Year","Y",186,"0"
"Asia","Bachelor's","Y","N",1274,"South",107781.48,"Year","Y",25,"0"
"North America","Master's","N","N",1549,"South",590.0203,"Hour","Y",23,"0"
"Asia","Bachelor's","Y","N",32619,"South",102073.81,"Year","Y",77,"0"
"Asia","Bachelor's","Y","N",2359,"Northeast",84125.48,"Year","Y",17,"0"
"Asia","Master's","Y","N",2480,"Northeast",34213.17,"Year","Y",43,"0"
"Asia","High School","N","N",488,"Midwest",49357.95,"Year","Y",14,"0"
"North America","Bachelor's","Y","N",2724,"South",69335.2,"Year","Y",26,"0"
"Asia","Master's","Y","N",2227,"Northeast",28243.79,"Year","Y",17,"0"
"Asia","Master's","Y","N",334,"Midwest",43421.88,"Year","Y",17,"0"
"Asia","Bachelor's","Y","N",224,"Midwest",80253.78,"Year","Y",16,"0"
"Asia","Master's","Y","N",306,"Northeast",95200.86,"Year","N",21,"0"
"Asia","Bachelor's","N","N",2903,"Midwest",97520.02,"Year","Y",81,"0"
"Asia","Bachelor's","Y","N",2504,"West",65164.57,"Year","Y",23,"0"
"North America","High School","Y","N",951,"Midwest",73957.17,"Year","N",68,"0"
"Asia","Bachelor's","Y","N",2421,"South",87336.53,"Year","Y",50,"0"
"North America","High School","Y","N",1019,"South",98966.72,"Week","Y",19,"0"
"Asia","Master's","N","N",3323,"Midwest",57590.66,"Year","Y",19,"0"
"Asia","Bachelor's","Y","N",509,"South",32400.2,"Week","Y",27,"0"
"North America","Master's","Y","Y",2225,"Northeast",65993.21,"Year","Y",48,"0"
"Asia","Bachelor's","Y","N",1641,"Midwest",32161.6,"Year","Y",40,"0"
"Asia","Doctorate","Y","Y",2754,"South",19176.21,"Year","Y",27,"0"
"Asia","Master's","Y","N",960,"Northeast",40256.03,"Year","Y",12,"0"
"North America","Bachelor's","Y","N",23287,"South",75234.64,"Year","N",17,"0"
"Asia","Bachelor's","N","N",2140,"South",37032.83,"Year","Y",27,"0"
"South America","High School","N","N",2554,"Midwest",247393.01,"Year","Y",19,"0"
"Asia","Bachelor's","Y","N",1333,"Northeast",341.0229,"Hour","Y",55,"0"
"Asia","Doctorate","Y","N",4289,"Midwest",19477.1,"Year","Y",19,"0"
"Asia","Doctorate","Y","Y",113282,"Midwest",164893,"Year","Y",13,"0"
"Asia","Master's","Y","N",1948,"South",131584.5,"Year","Y",22,"0"
"Asia","Master's","Y","N",1933,"Northeast",63896.35,"Year","Y",185,"0"
"Asia","Master's","N","N",2847,"Midwest",77883.22,"Year","Y",11,"0"
"Asia","Bachelor's","Y","N",1195,"Midwest",108519.14,"Year","Y",110,"0"
